# MAd/MH = 0.00642, MPAH/MH = 0.000659, Md/MH = 0.00708
# lambda   C_abs^PAH/H C_abs^Ad/H  C_sca^PAH/H C_sca^Ad/H  C_ext^PAH/H C_ext^Ad/H  C_ext^total/H  Albedo
# [um]     [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]
9.0874e+02 7.5253e-29 7.9574e-27 2.0332e-39 2.2668e-33 7.5253e-29 7.9574e-27 8.0326e-27 2.8220e-07
9.2029e+02 7.3387e-29 7.7966e-27 1.9331e-39 2.1556e-33 7.3387e-29 7.7966e-27 7.8700e-27 2.7390e-07
9.3198e+02 7.1566e-29 7.6428e-27 1.8380e-39 2.0495e-33 7.1566e-29 7.6428e-27 7.7144e-27 2.6567e-07
9.4382e+02 6.9790e-29 7.4931e-27 1.7475e-39 1.9486e-33 6.9790e-29 7.4931e-27 7.5629e-27 2.5765e-07
9.5581e+02 6.8059e-29 7.3419e-27 1.6615e-39 1.8531e-33 6.8059e-29 7.3419e-27 7.4100e-27 2.5008e-07
9.6795e+02 6.6369e-29 7.1984e-27 1.5797e-39 1.7618e-33 6.6369e-29 7.1984e-27 7.2647e-27 2.4251e-07
9.8025e+02 6.4722e-29 7.0570e-27 1.5020e-39 1.6751e-33 6.4722e-29 7.0570e-27 7.1217e-27 2.3522e-07
9.9270e+02 6.3115e-29 6.9165e-27 1.4280e-39 1.5929e-33 6.3115e-29 6.9165e-27 6.9796e-27 2.2823e-07
1.0053e+03 6.1548e-29 6.7821e-27 1.3577e-39 1.5145e-33 6.1548e-29 6.7821e-27 6.8436e-27 2.2130e-07
1.0181e+03 6.0020e-29 6.6480e-27 1.2909e-39 1.4401e-33 6.0020e-29 6.6480e-27 6.7080e-27 2.1468e-07
1.0310e+03 5.8530e-29 6.5173e-27 1.2273e-39 1.3693e-33 5.8530e-29 6.5173e-27 6.5758e-27 2.0824e-07
1.0441e+03 5.7076e-29 6.3910e-27 1.1669e-39 1.3019e-33 5.7076e-29 6.3910e-27 6.4481e-27 2.0190e-07
1.0574e+03 5.5659e-29 6.2645e-27 1.1095e-39 1.2380e-33 5.5659e-29 6.2645e-27 6.3202e-27 1.9588e-07
1.0708e+03 5.4276e-29 6.1428e-27 1.0549e-39 1.1771e-33 5.4276e-29 6.1428e-27 6.1971e-27 1.8994e-07
1.0844e+03 5.2928e-29 6.0243e-27 1.0029e-39 1.1191e-33 5.2928e-29 6.0243e-27 6.0772e-27 1.8415e-07
1.0982e+03 5.1613e-29 5.9050e-27 9.5356e-40 1.0643e-33 5.1613e-29 5.9050e-27 5.9566e-27 1.7867e-07
1.1121e+03 5.0330e-29 5.7916e-27 9.0661e-40 1.0119e-33 5.0330e-29 5.7916e-27 5.8419e-27 1.7321e-07
1.1263e+03 4.9080e-29 5.6797e-27 8.6199e-40 9.6210e-34 4.9080e-29 5.6797e-27 5.7287e-27 1.6794e-07
1.1406e+03 4.7861e-29 5.5689e-27 8.1955e-40 9.1487e-34 4.7861e-29 5.5689e-27 5.6168e-27 1.6288e-07
1.1551e+03 4.6671e-29 5.4626e-27 7.7920e-40 8.6981e-34 4.6671e-29 5.4626e-27 5.5092e-27 1.5788e-07
1.1697e+03 4.5511e-29 5.3561e-27 7.4084e-40 8.2711e-34 4.5511e-29 5.3561e-27 5.4016e-27 1.5312e-07
1.1846e+03 4.4380e-29 5.2527e-27 7.0437e-40 7.8645e-34 4.4380e-29 5.2527e-27 5.2971e-27 1.4847e-07
1.1997e+03 4.3277e-29 5.1529e-27 6.6970e-40 7.4771e-34 4.3277e-29 5.1529e-27 5.1962e-27 1.4390e-07
1.2149e+03 4.2201e-29 5.0525e-27 6.3673e-40 7.1106e-34 4.2201e-29 5.0525e-27 5.0947e-27 1.3957e-07
1.2303e+03 4.1152e-29 4.9566e-27 6.0538e-40 6.7606e-34 4.1152e-29 4.9566e-27 4.9977e-27 1.3527e-07
1.2460e+03 4.0129e-29 4.8624e-27 5.7557e-40 6.4277e-34 4.0129e-29 4.8624e-27 4.9025e-27 1.3111e-07
1.2618e+03 3.9131e-29 4.7678e-27 5.4724e-40 6.1126e-34 3.9131e-29 4.7678e-27 4.8069e-27 1.2716e-07
1.2778e+03 3.8158e-29 4.6778e-27 5.2029e-40 5.8116e-34 3.8158e-29 4.6778e-27 4.7160e-27 1.2323e-07
1.2941e+03 3.7209e-29 4.5887e-27 4.9468e-40 5.5258e-34 3.7209e-29 4.5887e-27 4.6259e-27 1.1946e-07
1.3105e+03 3.6283e-29 4.5006e-27 4.7032e-40 5.2546e-34 3.6283e-29 4.5006e-27 4.5369e-27 1.1582e-07
1.3271e+03 3.5381e-29 4.4166e-27 4.4717e-40 4.9958e-34 3.5381e-29 4.4166e-27 4.4520e-27 1.1222e-07
1.3440e+03 3.4501e-29 4.3319e-27 4.2516e-40 4.7506e-34 3.4501e-29 4.3319e-27 4.3664e-27 1.0880e-07
1.3611e+03 3.3643e-29 4.2499e-27 4.0422e-40 4.5170e-34 3.3643e-29 4.2499e-27 4.2836e-27 1.0545e-07
1.3784e+03 3.2806e-29 4.1708e-27 3.8432e-40 4.2945e-34 3.2806e-29 4.1708e-27 4.2037e-27 1.0216e-07
1.3959e+03 3.1990e-29 4.0906e-27 3.6540e-40 4.0840e-34 3.1990e-29 4.0906e-27 4.1226e-27 9.9065e-08
1.4136e+03 3.1194e-29 4.0142e-27 3.4741e-40 3.8829e-34 3.1194e-29 4.0142e-27 4.0454e-27 9.5982e-08
1.4316e+03 3.0418e-29 3.9394e-27 3.3031e-40 3.6918e-34 3.0418e-29 3.9394e-27 3.9698e-27 9.2998e-08
1.4498e+03 2.9661e-29 3.8641e-27 3.1404e-40 3.5108e-34 2.9661e-29 3.8641e-27 3.8938e-27 9.0163e-08
1.4682e+03 2.8923e-29 3.7928e-27 2.9858e-40 3.3379e-34 2.8923e-29 3.7928e-27 3.8217e-27 8.7339e-08
1.4868e+03 2.8203e-29 3.7217e-27 2.8388e-40 3.1739e-34 2.8203e-29 3.7217e-27 3.7499e-27 8.4638e-08
1.5057e+03 2.7501e-29 3.6519e-27 2.6990e-40 3.0180e-34 2.7501e-29 3.6519e-27 3.6794e-27 8.2023e-08
1.5248e+03 2.6817e-29 3.5847e-27 2.5661e-40 2.8693e-34 2.6817e-29 3.5847e-27 3.6115e-27 7.9451e-08
1.5442e+03 2.6150e-29 3.5171e-27 2.4398e-40 2.7286e-34 2.6150e-29 3.5171e-27 3.5433e-27 7.7007e-08
1.5638e+03 2.5499e-29 3.4520e-27 2.3197e-40 2.5943e-34 2.5499e-29 3.4520e-27 3.4775e-27 7.4604e-08
1.5837e+03 2.4864e-29 3.3890e-27 2.2055e-40 2.4666e-34 2.4864e-29 3.3890e-27 3.4139e-27 7.2251e-08
1.6038e+03 2.4245e-29 3.3245e-27 2.0969e-40 2.3457e-34 2.4245e-29 3.3245e-27 3.3487e-27 7.0048e-08
1.6242e+03 2.3642e-29 3.2641e-27 1.9936e-40 2.2302e-34 2.3642e-29 3.2641e-27 3.2878e-27 6.7833e-08
1.6448e+03 2.3053e-29 3.2039e-27 1.8955e-40 2.1205e-34 2.3053e-29 3.2039e-27 3.2270e-27 6.5711e-08
1.6657e+03 2.2480e-29 3.1441e-27 1.8021e-40 2.0165e-34 2.2480e-29 3.1441e-27 3.1666e-27 6.3679e-08
1.6869e+03 2.1920e-29 3.0873e-27 1.7134e-40 1.9171e-34 2.1920e-29 3.0873e-27 3.1092e-27 6.1659e-08
1.7083e+03 2.1374e-29 3.0304e-27 1.6290e-40 1.8230e-34 2.1374e-29 3.0304e-27 3.0517e-27 5.9735e-08
1.7300e+03 2.0842e-29 2.9744e-27 1.5488e-40 1.7334e-34 2.0842e-29 2.9744e-27 2.9953e-27 5.7872e-08
1.7520e+03 2.0323e-29 2.9207e-27 1.4726e-40 1.6480e-34 2.0323e-29 2.9207e-27 2.9410e-27 5.6036e-08
1.7743e+03 1.9817e-29 2.8665e-27 1.4001e-40 1.5672e-34 1.9817e-29 2.8665e-27 2.8863e-27 5.4298e-08
1.7968e+03 1.9324e-29 2.8147e-27 1.3311e-40 1.4901e-34 1.9324e-29 2.8147e-27 2.8340e-27 5.2579e-08
1.8196e+03 1.8842e-29 2.7642e-27 1.2656e-40 1.4167e-34 1.8842e-29 2.7642e-27 2.7831e-27 5.0905e-08
1.8427e+03 1.8373e-29 2.7128e-27 1.2033e-40 1.3473e-34 1.8373e-29 2.7128e-27 2.7311e-27 4.9330e-08
1.8662e+03 1.7916e-29 2.6644e-27 1.1440e-40 1.2809e-34 1.7916e-29 2.6644e-27 2.6823e-27 4.7755e-08
1.8899e+03 1.7470e-29 2.6163e-27 1.0877e-40 1.2180e-34 1.7470e-29 2.6163e-27 2.6338e-27 4.6243e-08
1.9139e+03 1.7035e-29 2.5684e-27 1.0341e-40 1.1582e-34 1.7035e-29 2.5684e-27 2.5855e-27 4.4795e-08
1.9382e+03 1.6610e-29 2.5229e-27 9.8322e-41 1.1011e-34 1.6610e-29 2.5229e-27 2.5395e-27 4.3361e-08
1.9628e+03 1.6197e-29 2.4770e-27 9.3482e-41 1.0471e-34 1.6197e-29 2.4770e-27 2.4932e-27 4.1997e-08
1.9877e+03 1.5793e-29 2.4325e-27 8.8879e-41 9.9560e-35 1.5793e-29 2.4325e-27 2.4483e-27 4.0665e-08
2.0130e+03 1.5400e-29 2.3869e-27 8.4502e-41 9.4676e-35 1.5400e-29 2.3869e-27 2.4023e-27 3.9411e-08
2.0386e+03 1.5016e-29 2.3419e-27 8.0341e-41 9.0019e-35 1.5016e-29 2.3419e-27 2.3569e-27 3.8194e-08
2.0645e+03 1.4642e-29 2.2980e-27 7.6385e-41 8.5586e-35 1.4642e-29 2.2980e-27 2.3126e-27 3.7008e-08
2.0907e+03 1.4278e-29 2.2536e-27 7.2625e-41 8.1392e-35 1.4278e-29 2.2536e-27 2.2679e-27 3.5889e-08
2.1173e+03 1.3922e-29 2.2112e-27 6.9048e-41 7.7383e-35 1.3922e-29 2.2112e-27 2.2252e-27 3.4777e-08
2.1442e+03 1.3575e-29 2.1695e-27 6.5649e-41 7.3578e-35 1.3575e-29 2.1695e-27 2.1831e-27 3.3703e-08
2.1714e+03 1.3237e-29 2.1278e-27 6.2416e-41 6.9967e-35 1.3237e-29 2.1278e-27 2.1410e-27 3.2679e-08
2.1990e+03 1.2907e-29 2.0878e-27 5.9342e-41 6.6521e-35 1.2907e-29 2.0878e-27 2.1007e-27 3.1666e-08
2.2269e+03 1.2586e-29 2.0478e-27 5.6421e-41 6.3254e-35 1.2586e-29 2.0478e-27 2.0604e-27 3.0700e-08
2.2552e+03 1.2272e-29 2.0088e-27 5.3643e-41 6.0146e-35 1.2272e-29 2.0088e-27 2.0210e-27 2.9760e-08
2.2839e+03 1.1967e-29 1.9712e-27 5.1002e-41 5.7184e-35 1.1967e-29 1.9712e-27 1.9831e-27 2.8835e-08
2.3129e+03 1.1669e-29 1.9331e-27 4.8490e-41 5.4379e-35 1.1669e-29 1.9331e-27 1.9448e-27 2.7961e-08
2.3423e+03 1.1378e-29 1.8966e-27 4.6102e-41 5.1703e-35 1.1378e-29 1.8966e-27 1.9080e-27 2.7099e-08
2.3720e+03 1.1094e-29 1.8608e-27 4.3832e-41 4.9157e-35 1.1094e-29 1.8608e-27 1.8719e-27 2.6260e-08
2.4022e+03 1.0818e-29 1.8248e-27 4.1674e-41 4.6748e-35 1.0818e-29 1.8248e-27 1.8357e-27 2.5467e-08
2.4327e+03 1.0548e-29 1.7907e-27 3.9622e-41 4.4446e-35 1.0548e-29 1.7907e-27 1.8012e-27 2.4676e-08
2.4636e+03 1.0286e-29 1.7567e-27 3.7671e-41 4.2261e-35 1.0286e-29 1.7567e-27 1.7670e-27 2.3917e-08
2.4949e+03 1.0029e-29 1.7229e-27 3.5816e-41 4.0186e-35 1.0029e-29 1.7229e-27 1.7329e-27 2.3190e-08
2.5266e+03 9.7795e-30 1.6904e-27 3.4052e-41 3.8207e-35 9.7795e-30 1.6904e-27 1.7002e-27 2.2473e-08
2.5587e+03 9.5358e-30 1.6580e-27 3.2376e-41 3.6331e-35 9.5358e-30 1.6580e-27 1.6675e-27 2.1788e-08
2.5912e+03 9.2982e-30 1.6265e-27 3.0781e-41 3.4546e-35 9.2982e-30 1.6265e-27 1.6358e-27 2.1119e-08
2.6241e+03 9.0666e-30 1.5959e-27 2.9266e-41 3.2844e-35 9.0666e-30 1.5959e-27 1.6050e-27 2.0464e-08
2.6574e+03 8.8407e-30 1.5650e-27 2.7825e-41 3.1234e-35 8.8407e-30 1.5650e-27 1.5738e-27 1.9846e-08
2.6912e+03 8.6204e-30 1.5354e-27 2.6455e-41 2.9697e-35 8.6204e-30 1.5354e-27 1.5440e-27 1.9234e-08
2.7254e+03 8.4056e-30 1.5066e-27 2.5152e-41 2.8235e-35 8.4056e-30 1.5066e-27 1.5150e-27 1.8637e-08
2.7600e+03 8.1961e-30 1.4774e-27 2.3914e-41 2.6851e-35 8.1961e-30 1.4774e-27 1.4856e-27 1.8074e-08
2.7951e+03 7.9919e-30 1.4497e-27 2.2736e-41 2.5529e-35 7.9919e-30 1.4497e-27 1.4577e-27 1.7513e-08
2.8306e+03 7.7927e-30 1.4224e-27 2.1616e-41 2.4271e-35 7.7927e-30 1.4224e-27 1.4302e-27 1.6970e-08
2.8665e+03 7.5985e-30 1.3952e-27 2.0552e-41 2.3079e-35 7.5985e-30 1.3952e-27 1.4028e-27 1.6452e-08
2.9029e+03 7.4092e-30 1.3685e-27 1.9540e-41 2.1945e-35 7.4092e-30 1.3685e-27 1.3759e-27 1.5950e-08
2.9398e+03 7.2246e-30 1.3428e-27 1.8578e-41 2.0865e-35 7.2246e-30 1.3428e-27 1.3501e-27 1.5455e-08
2.9772e+03 7.0446e-30 1.3170e-27 1.7663e-41 1.9841e-35 7.0446e-30 1.3170e-27 1.3240e-27 1.4985e-08
3.0150e+03 6.8690e-30 1.2920e-27 1.6793e-41 1.8865e-35 6.8690e-30 1.2920e-27 1.2989e-27 1.4524e-08
3.0533e+03 6.6978e-30 1.2676e-27 1.5966e-41 1.7936e-35 6.6978e-30 1.2676e-27 1.2743e-27 1.4074e-08
3.0921e+03 6.5309e-30 1.2437e-27 1.5180e-41 1.7053e-35 6.5309e-30 1.2437e-27 1.2502e-27 1.3640e-08
3.1314e+03 6.3681e-30 1.2196e-27 1.4433e-41 1.6217e-35 6.3681e-30 1.2196e-27 1.2260e-27 1.3228e-08
3.1712e+03 6.2094e-30 1.1967e-27 1.3722e-41 1.5418e-35 6.2094e-30 1.1967e-27 1.2030e-27 1.2817e-08
3.2114e+03 6.0547e-30 1.1740e-27 1.3046e-41 1.4660e-35 6.0547e-30 1.1740e-27 1.1800e-27 1.2424e-08
3.2522e+03 5.9038e-30 1.1514e-27 1.2404e-41 1.3941e-35 5.9038e-30 1.1514e-27 1.1573e-27 1.2046e-08
3.2936e+03 5.7566e-30 1.1296e-27 1.1793e-41 1.3254e-35 5.7566e-30 1.1296e-27 1.1354e-27 1.1674e-08
3.3354e+03 5.6132e-30 1.1084e-27 1.1213e-41 1.2601e-35 5.6132e-30 1.1084e-27 1.1140e-27 1.1312e-08
3.3778e+03 5.4733e-30 1.0871e-27 1.0660e-41 1.1983e-35 5.4733e-30 1.0871e-27 1.0926e-27 1.0968e-08
3.4207e+03 5.3369e-30 1.0663e-27 1.0135e-41 1.1394e-35 5.3369e-30 1.0663e-27 1.0717e-27 1.0632e-08
3.4641e+03 5.2039e-30 1.0462e-27 9.6363e-42 1.0833e-35 5.2039e-30 1.0462e-27 1.0514e-27 1.0303e-08
3.5082e+03 5.0741e-30 1.0260e-27 9.1619e-42 1.0302e-35 5.0741e-30 1.0260e-27 1.0311e-27 9.9911e-09
3.5527e+03 4.9477e-30 1.0067e-27 8.7106e-42 9.7944e-36 4.9477e-30 1.0067e-27 1.0116e-27 9.6821e-09
3.5979e+03 4.8244e-30 9.8778e-28 8.2817e-42 9.3121e-36 4.8244e-30 9.8778e-28 9.9261e-28 9.3814e-09
3.6436e+03 4.7041e-30 9.6890e-28 7.8740e-42 8.8541e-36 4.7041e-30 9.6890e-28 9.7361e-28 9.0942e-09
3.6899e+03 4.5869e-30 9.5026e-28 7.4862e-42 8.4197e-36 4.5869e-30 9.5026e-28 9.5485e-28 8.8178e-09
3.7367e+03 4.4726e-30 9.3237e-28 7.1176e-42 8.0050e-36 4.4726e-30 9.3237e-28 9.3684e-28 8.5447e-09
3.7842e+03 4.3611e-30 9.1478e-28 6.7671e-42 7.6108e-36 4.3611e-30 9.1478e-28 9.1914e-28 8.2803e-09
3.8323e+03 4.2524e-30 8.9721e-28 6.4339e-42 7.2373e-36 4.2524e-30 8.9721e-28 9.0146e-28 8.0284e-09
3.8810e+03 4.1464e-30 8.8009e-28 6.1170e-42 6.8814e-36 4.1464e-30 8.8009e-28 8.8423e-28 7.7823e-09
3.9303e+03 4.0430e-30 8.6355e-28 5.8158e-42 6.5425e-36 4.0430e-30 8.6355e-28 8.6759e-28 7.5410e-09
3.9802e+03 3.9423e-30 8.4732e-28 5.5294e-42 6.2204e-36 3.9423e-30 8.4732e-28 8.5126e-28 7.3073e-09
4.0308e+03 3.8440e-30 8.3081e-28 5.2572e-42 5.9155e-36 3.8440e-30 8.3081e-28 8.3466e-28 7.0874e-09
4.0820e+03 3.7482e-30 8.1513e-28 4.9983e-42 5.6242e-36 3.7482e-30 8.1513e-28 8.1888e-28 6.8682e-09
4.1338e+03 3.6547e-30 7.9976e-28 4.7522e-42 5.3473e-36 3.6547e-30 7.9976e-28 8.0342e-28 6.6556e-09
4.1863e+03 3.5636e-30 7.8461e-28 4.5181e-42 5.0844e-36 3.5636e-30 7.8461e-28 7.8817e-28 6.4508e-09
4.2395e+03 3.4748e-30 7.6950e-28 4.2957e-42 4.8348e-36 3.4748e-30 7.6950e-28 7.7297e-28 6.2548e-09
4.2934e+03 3.3882e-30 7.5495e-28 4.0842e-42 4.5967e-36 3.3882e-30 7.5495e-28 7.5833e-28 6.0616e-09
4.3479e+03 3.3038e-30 7.4074e-28 3.8830e-42 4.3704e-36 3.3038e-30 7.4074e-28 7.4404e-28 5.8738e-09
4.4032e+03 3.2214e-30 7.2640e-28 3.6918e-42 4.1559e-36 3.2214e-30 7.2640e-28 7.2962e-28 5.6960e-09
4.4591e+03 3.1411e-30 7.1269e-28 3.5100e-42 3.9515e-36 3.1411e-30 7.1269e-28 7.1583e-28 5.5201e-09
4.5158e+03 3.0628e-30 6.9922e-28 3.3372e-42 3.7569e-36 3.0628e-30 6.9922e-28 7.0228e-28 5.3496e-09
4.5731e+03 2.9864e-30 6.8608e-28 3.1729e-42 3.5719e-36 2.9864e-30 6.8608e-28 6.8907e-28 5.1837e-09
4.6312e+03 2.9120e-30 6.7262e-28 3.0166e-42 3.3969e-36 2.9120e-30 6.7262e-28 6.7553e-28 5.0284e-09
4.6901e+03 2.8394e-30 6.5997e-28 2.8681e-42 3.2295e-36 2.8394e-30 6.5997e-28 6.6281e-28 4.8725e-09
4.7496e+03 2.7686e-30 6.4753e-28 2.7269e-42 3.0705e-36 2.7686e-30 6.4753e-28 6.5030e-28 4.7217e-09
4.8100e+03 2.6996e-30 6.3518e-28 2.5926e-42 2.9196e-36 2.6996e-30 6.3518e-28 6.3788e-28 4.5771e-09
4.8711e+03 2.6323e-30 6.2301e-28 2.4649e-42 2.7762e-36 2.6323e-30 6.2301e-28 6.2564e-28 4.4375e-09
4.9330e+03 2.5667e-30 6.1128e-28 2.3435e-42 2.6395e-36 2.5667e-30 6.1128e-28 6.1385e-28 4.3000e-09
4.9956e+03 2.5027e-30 5.9972e-28 2.2281e-42 2.5096e-36 2.5027e-30 5.9972e-28 6.0222e-28 4.1672e-09
5.0591e+03 2.4404e-30 5.8841e-28 2.1184e-42 2.3860e-36 2.4404e-30 5.8841e-28 5.9085e-28 4.0382e-09
5.1234e+03 2.3795e-30 5.7698e-28 2.0141e-42 2.2690e-36 2.3795e-30 5.7698e-28 5.7936e-28 3.9164e-09
5.1885e+03 2.3202e-30 5.6607e-28 1.9149e-42 2.1573e-36 2.3202e-30 5.6607e-28 5.6839e-28 3.7955e-09
5.2544e+03 2.2624e-30 5.5538e-28 1.8206e-42 2.0511e-36 2.2624e-30 5.5538e-28 5.5764e-28 3.6781e-09
5.3211e+03 2.2060e-30 5.4491e-28 1.7310e-42 1.9502e-36 2.2060e-30 5.4491e-28 5.4712e-28 3.5644e-09
5.3887e+03 2.1510e-30 5.3432e-28 1.6457e-42 1.8545e-36 2.1510e-30 5.3432e-28 5.3647e-28 3.4569e-09
5.4572e+03 2.0973e-30 5.2430e-28 1.5647e-42 1.7632e-36 2.0973e-30 5.2430e-28 5.2640e-28 3.3495e-09
5.5265e+03 2.0451e-30 5.1439e-28 1.4877e-42 1.6764e-36 2.0451e-30 5.1439e-28 5.1643e-28 3.2460e-09
5.5967e+03 1.9941e-30 5.0464e-28 1.4144e-42 1.5938e-36 1.9941e-30 5.0464e-28 5.0663e-28 3.1459e-09
5.6678e+03 1.9444e-30 4.9489e-28 1.3447e-42 1.5156e-36 1.9444e-30 4.9489e-28 4.9684e-28 3.0505e-09
5.7398e+03 1.8959e-30 4.8553e-28 1.2785e-42 1.4411e-36 1.8959e-30 4.8553e-28 4.8743e-28 2.9564e-09
5.8128e+03 1.8486e-30 4.7636e-28 1.2156e-42 1.3701e-36 1.8486e-30 4.7636e-28 4.7821e-28 2.8650e-09
5.8866e+03 1.8026e-30 4.6732e-28 1.1557e-42 1.3026e-36 1.8026e-30 4.6732e-28 4.6912e-28 2.7767e-09
5.9614e+03 1.7576e-30 4.5825e-28 1.0988e-42 1.2388e-36 1.7576e-30 4.5825e-28 4.6001e-28 2.6930e-09
6.0371e+03 1.7138e-30 4.4965e-28 1.0447e-42 1.1778e-36 1.7138e-30 4.4965e-28 4.5136e-28 2.6094e-09
6.1138e+03 1.6711e-30 4.4119e-28 9.9325e-43 1.1198e-36 1.6711e-30 4.4119e-28 4.4286e-28 2.5285e-09
6.1915e+03 1.6294e-30 4.3287e-28 9.4435e-43 1.0646e-36 1.6294e-30 4.3287e-28 4.3450e-28 2.4503e-09
6.2702e+03 1.5888e-30 4.2456e-28 8.9785e-43 1.0123e-36 1.5888e-30 4.2456e-28 4.2615e-28 2.3755e-09
6.3498e+03 1.5492e-30 4.1637e-28 8.5364e-43 9.6261e-37 1.5492e-30 4.1637e-28 4.1792e-28 2.3033e-09
6.4305e+03 1.5106e-30 4.0854e-28 8.1160e-43 9.1521e-37 1.5106e-30 4.0854e-28 4.1005e-28 2.2319e-09
6.5122e+03 1.4729e-30 4.0081e-28 7.7163e-43 8.7014e-37 1.4729e-30 4.0081e-28 4.0229e-28 2.1630e-09
6.5949e+03 1.4362e-30 3.9327e-28 7.3363e-43 8.2729e-37 1.4362e-30 3.9327e-28 3.9470e-28 2.0960e-09
6.6787e+03 1.4004e-30 3.8564e-28 6.9752e-43 7.8674e-37 1.4004e-30 3.8564e-28 3.8704e-28 2.0327e-09
6.7635e+03 1.3655e-30 3.7836e-28 6.6316e-43 7.4800e-37 1.3655e-30 3.7836e-28 3.7973e-28 1.9698e-09
6.8495e+03 1.3314e-30 3.7122e-28 6.3051e-43 7.1117e-37 1.3314e-30 3.7122e-28 3.7255e-28 1.9089e-09
6.9365e+03 1.2982e-30 3.6420e-28 5.9946e-43 6.7615e-37 1.2982e-30 3.6420e-28 3.6550e-28 1.8499e-09
7.0246e+03 1.2659e-30 3.5722e-28 5.6994e-43 6.4290e-37 1.2659e-30 3.5722e-28 3.5848e-28 1.7934e-09
7.1138e+03 1.2343e-30 3.5032e-28 5.4188e-43 6.1135e-37 1.2343e-30 3.5032e-28 3.5155e-28 1.7390e-09
7.2042e+03 1.2036e-30 3.4371e-28 5.1519e-43 5.8124e-37 1.2036e-30 3.4371e-28 3.4491e-28 1.6852e-09
7.2957e+03 1.1735e-30 3.3722e-28 4.8982e-43 5.5262e-37 1.1735e-30 3.3722e-28 3.3839e-28 1.6331e-09
7.3884e+03 1.1443e-30 3.3088e-28 4.6570e-43 5.2541e-37 1.1443e-30 3.3088e-28 3.3202e-28 1.5824e-09
7.4823e+03 1.1158e-30 3.2447e-28 4.4277e-43 4.9963e-37 1.1158e-30 3.2447e-28 3.2559e-28 1.5346e-09
7.5774e+03 1.0879e-30 3.1831e-28 4.2097e-43 4.7505e-37 1.0879e-30 3.1831e-28 3.1940e-28 1.4873e-09
7.6736e+03 1.0608e-30 3.1229e-28 4.0023e-43 4.5165e-37 1.0608e-30 3.1229e-28 3.1335e-28 1.4414e-09
7.7711e+03 1.0344e-30 3.0637e-28 3.8053e-43 4.2942e-37 1.0344e-30 3.0637e-28 3.0741e-28 1.3969e-09
7.8698e+03 1.0086e-30 3.0057e-28 3.6179e-43 4.0827e-37 1.0086e-30 3.0057e-28 3.0158e-28 1.3538e-09
7.9698e+03 9.8344e-31 2.9486e-28 3.4398e-43 3.8819e-37 9.8344e-31 2.9486e-28 2.9585e-28 1.3121e-09
8.0711e+03 9.5892e-31 2.8914e-28 3.2704e-43 3.6914e-37 9.5892e-31 2.8914e-28 2.9010e-28 1.2725e-09
8.1736e+03 9.3501e-31 2.8371e-28 3.1093e-43 3.5096e-37 9.3501e-31 2.8371e-28 2.8464e-28 1.2330e-09
8.2774e+03 9.1171e-31 2.7837e-28 2.9562e-43 3.3368e-37 9.1171e-31 2.7837e-28 2.7928e-28 1.1948e-09
8.3826e+03 8.8898e-31 2.7312e-28 2.8106e-43 3.1725e-37 8.8898e-31 2.7312e-28 2.7401e-28 1.1578e-09
8.4891e+03 8.6682e-31 2.6782e-28 2.6722e-43 3.0169e-37 8.6682e-31 2.6782e-28 2.6869e-28 1.1228e-09
8.5969e+03 8.4520e-31 2.6271e-28 2.5406e-43 2.8684e-37 8.4520e-31 2.6271e-28 2.6356e-28 1.0884e-09
8.7061e+03 8.2414e-31 2.5773e-28 2.4155e-43 2.7272e-37 8.2414e-31 2.5773e-28 2.5855e-28 1.0548e-09
8.8168e+03 8.0359e-31 2.5291e-28 2.2966e-43 2.5929e-37 8.0359e-31 2.5291e-28 2.5371e-28 1.0220e-09
8.9288e+03 7.8355e-31 2.4810e-28 2.1835e-43 2.4652e-37 7.8355e-31 2.4810e-28 2.4888e-28 9.9051e-10
9.0422e+03 7.6402e-31 2.4341e-28 2.0760e-43 2.3440e-37 7.6402e-31 2.4341e-28 2.4417e-28 9.5997e-10
9.1571e+03 7.4497e-31 2.3869e-28 1.9738e-43 2.2290e-37 7.4497e-31 2.3869e-28 2.3943e-28 9.3093e-10
9.2734e+03 7.2639e-31 2.3414e-28 1.8766e-43 2.1192e-37 7.2639e-31 2.3414e-28 2.3487e-28 9.0228e-10
9.3912e+03 7.0829e-31 2.2973e-28 1.7842e-43 2.0148e-37 7.0829e-31 2.2973e-28 2.3044e-28 8.7436e-10
9.5105e+03 6.9063e-31 2.2539e-28 1.6963e-43 1.9156e-37 6.9063e-31 2.2539e-28 2.2608e-28 8.4734e-10
9.6313e+03 6.7341e-31 2.2117e-28 1.6128e-43 1.8213e-37 6.7341e-31 2.2117e-28 2.2185e-28 8.2097e-10
9.7537e+03 6.5663e-31 2.1688e-28 1.5334e-43 1.7320e-37 6.5663e-31 2.1688e-28 2.1753e-28 7.9618e-10
9.8776e+03 6.4025e-31 2.1273e-28 1.4578e-43 1.6467e-37 6.4025e-31 2.1273e-28 2.1337e-28 7.7180e-10
1.0003e+04 6.2429e-31 2.0874e-28 1.3861e-43 1.5657e-37 6.2429e-31 2.0874e-28 2.0937e-28 7.4780e-10
