# MAd/MH = 0.00642, MPAH/MH = 0.000659, Md/MH = 0.00708
# lambda   C_abs^PAH/H C_abs^Ad/H  C_sca^PAH/H C_sca^Ad/H  C_ext^PAH/H C_ext^Ad/H  C_ext^total/H  Albedo
# [um]     [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]
5.0457e+01 1.0226e-26 1.8352e-24 1.9111e-34 2.4163e-28 1.0226e-26 1.8355e-24 1.8457e-24 1.3092e-04
5.1098e+01 1.0097e-26 1.7858e-24 1.8191e-34 2.2966e-28 1.0097e-26 1.7861e-24 1.7962e-24 1.2786e-04
5.1747e+01 9.9693e-27 1.7376e-24 1.7315e-34 2.1829e-28 9.9693e-27 1.7378e-24 1.7478e-24 1.2489e-04
5.2405e+01 9.8423e-27 1.6905e-24 1.6482e-34 2.0749e-28 9.8423e-27 1.6907e-24 1.7005e-24 1.2201e-04
5.3071e+01 9.7160e-27 1.6445e-24 1.5689e-34 1.9723e-28 9.7160e-27 1.6447e-24 1.6544e-24 1.1922e-04
5.3745e+01 9.5906e-27 1.6006e-24 1.4933e-34 1.8745e-28 9.5906e-27 1.6008e-24 1.6104e-24 1.1640e-04
5.4428e+01 9.4661e-27 1.5578e-24 1.4215e-34 1.7816e-28 9.4661e-27 1.5580e-24 1.5675e-24 1.1366e-04
5.5119e+01 9.3424e-27 1.5159e-24 1.3531e-34 1.6933e-28 9.3424e-27 1.5161e-24 1.5254e-24 1.1101e-04
5.5819e+01 9.2196e-27 1.4751e-24 1.2880e-34 1.6096e-28 9.2196e-27 1.4752e-24 1.4844e-24 1.0843e-04
5.6528e+01 9.0976e-27 1.4355e-24 1.2260e-34 1.5298e-28 9.0976e-27 1.4357e-24 1.4448e-24 1.0589e-04
5.7247e+01 8.9764e-27 1.3970e-24 1.1671e-34 1.4541e-28 8.9764e-27 1.3971e-24 1.4061e-24 1.0341e-04
5.7974e+01 8.8561e-27 1.3595e-24 1.1109e-34 1.3821e-28 8.8561e-27 1.3596e-24 1.3685e-24 1.0100e-04
5.8710e+01 8.7366e-27 1.3232e-24 1.0575e-34 1.3137e-28 8.7366e-27 1.3234e-24 1.3321e-24 9.8615e-05
5.9456e+01 8.6178e-27 1.2878e-24 1.0066e-34 1.2486e-28 8.6178e-27 1.2880e-24 1.2966e-24 9.6301e-05
6.0212e+01 8.4999e-27 1.2540e-24 9.5820e-35 1.1866e-28 8.4999e-27 1.2541e-24 1.2626e-24 9.3980e-05
6.0977e+01 8.3827e-27 1.2203e-24 9.1211e-35 1.1280e-28 8.3827e-27 1.2205e-24 1.2288e-24 9.1791e-05
6.1751e+01 8.2662e-27 1.1881e-24 8.6824e-35 1.0720e-28 8.2662e-27 1.1882e-24 1.1965e-24 8.9599e-05
6.2536e+01 8.1505e-27 1.1560e-24 8.2648e-35 1.0191e-28 8.1505e-27 1.1561e-24 1.1642e-24 8.7532e-05
6.3330e+01 8.0357e-27 1.1254e-24 7.8672e-35 9.6861e-29 8.0357e-27 1.1255e-24 1.1335e-24 8.5454e-05
6.4135e+01 7.9216e-27 1.0958e-24 7.4889e-35 9.2058e-29 7.9216e-27 1.0958e-24 1.1038e-24 8.3404e-05
6.4949e+01 7.8083e-27 1.0670e-24 7.1286e-35 8.7494e-29 7.8083e-27 1.0671e-24 1.0749e-24 8.1400e-05
6.5775e+01 7.6958e-27 1.0389e-24 6.7857e-35 8.3158e-29 7.6958e-27 1.0390e-24 1.0467e-24 7.9451e-05
6.6610e+01 7.5841e-27 1.0113e-24 6.4593e-35 7.9045e-29 7.5841e-27 1.0114e-24 1.0189e-24 7.7575e-05
6.7456e+01 7.4733e-27 9.8464e-25 6.1486e-35 7.5131e-29 7.4733e-27 9.8471e-25 9.9218e-25 7.5723e-05
6.8313e+01 7.3632e-27 9.5878e-25 5.8528e-35 7.1408e-29 7.3632e-27 9.5885e-25 9.6621e-25 7.3905e-05
6.9181e+01 7.2540e-27 9.3357e-25 5.5711e-35 6.7873e-29 7.2540e-27 9.3363e-25 9.4089e-25 7.2137e-05
7.0060e+01 7.1454e-27 9.0889e-25 5.3031e-35 6.4514e-29 7.1454e-27 9.0895e-25 9.1610e-25 7.0423e-05
7.0950e+01 7.0378e-27 8.8498e-25 5.0479e-35 6.1322e-29 7.0378e-27 8.8504e-25 8.9208e-25 6.8741e-05
7.1852e+01 6.9309e-27 8.6202e-25 4.8050e-35 5.8282e-29 6.9309e-27 8.6208e-25 8.6901e-25 6.7068e-05
7.2764e+01 6.8250e-27 8.3933e-25 4.5738e-35 5.5400e-29 6.8250e-27 8.3939e-25 8.4621e-25 6.5468e-05
7.3689e+01 6.7198e-27 8.1758e-25 4.3536e-35 5.2653e-29 6.7198e-27 8.1763e-25 8.2435e-25 6.3872e-05
7.4625e+01 6.6155e-27 7.9602e-25 4.1440e-35 5.0050e-29 6.6155e-27 7.9607e-25 8.0268e-25 6.2354e-05
7.5573e+01 6.5121e-27 7.7510e-25 3.9445e-35 4.7577e-29 6.5121e-27 7.7515e-25 7.8166e-25 6.0866e-05
7.6533e+01 6.4096e-27 7.5496e-25 3.7546e-35 4.5223e-29 6.4096e-27 7.5500e-25 7.6141e-25 5.9393e-05
7.7505e+01 6.3079e-27 7.3569e-25 3.5738e-35 4.2977e-29 6.3079e-27 7.3574e-25 7.4204e-25 5.7918e-05
7.8490e+01 6.2071e-27 7.1645e-25 3.4017e-35 4.0851e-29 6.2071e-27 7.1649e-25 7.2269e-25 5.6526e-05
7.9487e+01 6.1071e-27 6.9776e-25 3.2378e-35 3.8833e-29 6.1071e-27 6.9780e-25 7.0391e-25 5.5168e-05
8.0497e+01 6.0081e-27 6.7987e-25 3.0818e-35 3.6908e-29 6.0081e-27 6.7990e-25 6.8591e-25 5.3808e-05
